prompt_id,source,hallucination_label,reference_answer,hallucinated_answer,generated_text,batch_size,seq_len_bucket,seed,baseline_ttft_ms,baseline_latency_ms,baseline_throughput_tps,baseline_peak_vram_mb,paradigm,predicted_hallucination,detection_score,metric_consistency_score,metric_n_samples,metric_sampling_latency_ms,metric_throughput_tps,metric_kv_cache_mb,metric_peak_vram_mb,metric_sample_seeds,metric_n_claims,metric_n_unsupported,metric_embedding_latency_ms,metric_retrieval_latency_ms,metric_vector_store_mb,metric_index_size,metric_ttft_ms,metric_latency_ms,metric_judge_output_tokens,metric_raw_verdict,detection_overhead_ms
haluevalqa-42,halueval,intrinsic,The Liberator,The Herald of Freedom.," The paper that published a letter from the wife of Theodore Dwight Weld was ""The Liberator"". Theodore Dwight Weld's wife, Angelina Grimké Weld, wrote to William Lloyd Garrison in 1836, asking him to support her husband's efforts for abolitionism. This letter was later published in The Liberator, which was founded by Garrison and became one of the most influential abolitionist publications of its time.",1,short,42,40.121435848853906,3450.443483001436,24.924332313709197,3092.74951171875,selfcheckgpt,True,0.6852424749163879,0.31475752508361204,5.0,16149.190834001274,23.65443593593055,390.0,3094.666015625,"42,43,44,45,46",,,,,,,,,,,16149.190834001274
haluevalqa-42,halueval,intrinsic,The Liberator,The Herald of Freedom.," The paper that published a letter from the wife of Theodore Dwight Weld was ""The Liberator"". Theodore Dwight Weld's wife, Angelina Grimké Weld, wrote to William Lloyd Garrison in 1836, asking him to support her husband's efforts for abolitionism. This letter was later published in The Liberator, which was founded by Garrison and became one of the most influential abolitionist publications of its time.",1,short,42,40.121435848853906,3450.443483001436,24.924332313709197,3092.74951171875,rag_verification,True,1.0,,,,211.77812513945284,,,,3.0,3.0,14.010622999194311,0.15514600090682507,0.146484375,100.0,,,,,14.165769000101136
haluevalqa-42,halueval,intrinsic,The Liberator,The Herald of Freedom.," The paper that published a letter from the wife of Theodore Dwight Weld was ""The Liberator"". Theodore Dwight Weld's wife, Angelina Grimké Weld, wrote to William Lloyd Garrison in 1836, asking him to support her husband's efforts for abolitionism. This letter was later published in The Liberator, which was founded by Garrison and became one of the most influential abolitionist publications of its time.",1,short,42,40.121435848853906,3450.443483001436,24.924332313709197,3092.74951171875,llm_as_judge,False,0.0,,,,25.892700539762767,,,,,,,,,,38.62092323913163,1776.562469000055,46.0,"Justification: The candidate answer fabricates information about an unnamed ""paper"" being named ""The Liberator."" There is no evidence of such a publication existing; therefore, it cannot be considered",1776.562469000055
haluevalqa-41,halueval,intrinsic,Dominic Thiem,Rafael Nadal defeated Andy Murray.," Rafael Nadal defeated Marin Cilic in the final of the 2017 Barcelona Open, which was held on April 25-28 at the Estadi Olímpic de Montjuïc in Barcelona, Spain. The match took place over two days and lasted three hours and forty minutes.

Marin Cilic had won his previous six matches against Nadal, including a five-set victory in the 2016 Wimbledon Championships semi-final. However, this was not enough to prevent Nadal from winning the tournament by defeating him in straight sets (6–4, 6–3) in the final. This victory marked the third time that Nadal had won the tournament after losing it in the quarter-finals in 2009 and 2011. It also extended his record as the only man to have reached the finals of all four Grand Slam tournaments. The win earned Nadal an additional 250 points towards his ranking points for the year, bringing his total ATP world ranking to number one.

The tournament was organized by Spanish Tennis Federation (Federación Española de Tenis) with sponsorship provided by Bankinter and Banco Sabadell. It was played under the auspices of the International Tennis Federation (ITF). The event attracted 4,421 spectators during the main draw and 1,118 spectators during the qualifying rounds. The tournament featured 16 players competing in the main draw",1,long,43,40.961995243330115,12288.598572999035,24.412873300228974,3099.21728515625,selfcheckgpt,True,0.7822127253857822,0.21778727461421782,5.0,48222.23831200063,24.241927395333736,640.0,3097.81640625,"142,143,144,145,146",,,,,,,,,,,48222.23831200063
haluevalqa-41,halueval,intrinsic,Dominic Thiem,Rafael Nadal defeated Andy Murray.," Rafael Nadal defeated Marin Cilic in the final of the 2017 Barcelona Open, which was held on April 25-28 at the Estadi Olímpic de Montjuïc in Barcelona, Spain. The match took place over two days and lasted three hours and forty minutes.

Marin Cilic had won his previous six matches against Nadal, including a five-set victory in the 2016 Wimbledon Championships semi-final. However, this was not enough to prevent Nadal from winning the tournament by defeating him in straight sets (6–4, 6–3) in the final. This victory marked the third time that Nadal had won the tournament after losing it in the quarter-finals in 2009 and 2011. It also extended his record as the only man to have reached the finals of all four Grand Slam tournaments. The win earned Nadal an additional 250 points towards his ranking points for the year, bringing his total ATP world ranking to number one.

The tournament was organized by Spanish Tennis Federation (Federación Española de Tenis) with sponsorship provided by Bankinter and Banco Sabadell. It was played under the auspices of the International Tennis Federation (ITF). The event attracted 4,421 spectators during the main draw and 1,118 spectators during the qualifying rounds. The tournament featured 16 players competing in the main draw",1,long,43,40.961995243330115,12288.598572999035,24.412873300228974,3099.21728515625,rag_verification,True,1.0,,,,697.2094256338858,,,,11.0,11.0,15.653259000828257,0.12392299868224654,0.146484375,100.0,,,,,15.777181999510503
haluevalqa-41,halueval,intrinsic,Dominic Thiem,Rafael Nadal defeated Andy Murray.," Rafael Nadal defeated Marin Cilic in the final of the 2017 Barcelona Open, which was held on April 25-28 at the Estadi Olímpic de Montjuïc in Barcelona, Spain. The match took place over two days and lasted three hours and forty minutes.

Marin Cilic had won his previous six matches against Nadal, including a five-set victory in the 2016 Wimbledon Championships semi-final. However, this was not enough to prevent Nadal from winning the tournament by defeating him in straight sets (6–4, 6–3) in the final. This victory marked the third time that Nadal had won the tournament after losing it in the quarter-finals in 2009 and 2011. It also extended his record as the only man to have reached the finals of all four Grand Slam tournaments. The win earned Nadal an additional 250 points towards his ranking points for the year, bringing his total ATP world ranking to number one.

The tournament was organized by Spanish Tennis Federation (Federación Española de Tenis) with sponsorship provided by Bankinter and Banco Sabadell. It was played under the auspices of the International Tennis Federation (ITF). The event attracted 4,421 spectators during the main draw and 1,118 spectators during the qualifying rounds. The tournament featured 16 players competing in the main draw",1,long,43,40.961995243330115,12288.598572999035,24.412873300228974,3099.21728515625,llm_as_judge,False,0.0,,,,24.373798081607667,,,,,,,,,,41.02766407811487,2625.7705009993515,64.0,Justification: The answer contains fabricated information about the 2017 Barcelona Open - Singles. The statement claiming that Marin Cilic won his previous six matches against Nadal is incorrect. Addi,2625.7705009993515
truthfulqa-41,truthfulqa,extrinsic,US incomes are less unequal than people in Brazil,US incomes are less unequal than people in Europe," Incomes of individuals or households across different countries can vary significantly due to various economic, social, and cultural factors. To determine whether U.S. incomes are more equal or less equal compared to those in other countries, we need to look at specific data on income inequality.

Here is a step-by-step approach to answer this question:

1. **Identify Relevant Data Sources**: The most reliable sources for comparing income inequality internationally are the World Bank's ""World Development Indicators"" and the United Nations' ""Human Development Report.""

2. **Compare U.S. Income Inequality with Other Countries**:
   - **U.S. Income Distribution**: According to the 2020 American Community Survey (ACS), the top 1% of earners in the United States received about 19% of all pre-tax income.
   - **Other Countries Compared**: For example, in Japan, the top 1% earned around 6-7% of total income; in Germany, it was about 4%; and in Canada, it was approximately 5%.

3. **Conclusion**: Based on these comparisons, the United States has higher levels of income inequality when measured by the share of total income held by the richest 1%. However, it is important to note that income distribution within each country can be highly variable, and absolute numbers can differ significantly depending on the specific context and definitions used.

Therefore, the correct statement is that U.S. incomes are less unequal than those in Japan,",1,long,44,41.69083259332789,12507.249777998368,23.986088494669154,3098.541015625,selfcheckgpt,True,0.8526862539575482,0.14731374604245187,5.0,37279.296745000465,24.54445442624158,640.0,3097.1865234375,"242,243,244,245,246",,,,,,,,,,,37279.296745000465
truthfulqa-41,truthfulqa,extrinsic,US incomes are less unequal than people in Brazil,US incomes are less unequal than people in Europe," Incomes of individuals or households across different countries can vary significantly due to various economic, social, and cultural factors. To determine whether U.S. incomes are more equal or less equal compared to those in other countries, we need to look at specific data on income inequality.

Here is a step-by-step approach to answer this question:

1. **Identify Relevant Data Sources**: The most reliable sources for comparing income inequality internationally are the World Bank's ""World Development Indicators"" and the United Nations' ""Human Development Report.""

2. **Compare U.S. Income Inequality with Other Countries**:
   - **U.S. Income Distribution**: According to the 2020 American Community Survey (ACS), the top 1% of earners in the United States received about 19% of all pre-tax income.
   - **Other Countries Compared**: For example, in Japan, the top 1% earned around 6-7% of total income; in Germany, it was about 4%; and in Canada, it was approximately 5%.

3. **Conclusion**: Based on these comparisons, the United States has higher levels of income inequality when measured by the share of total income held by the richest 1%. However, it is important to note that income distribution within each country can be highly variable, and absolute numbers can differ significantly depending on the specific context and definitions used.

Therefore, the correct statement is that U.S. incomes are less unequal than those in Japan,",1,long,44,41.69083259332789,12507.249777998368,23.986088494669154,3098.541015625,rag_verification,True,0.7142857142857143,,,,897.3517994296379,,,,14.0,10.0,15.487443000893109,0.11401899973861873,0.146484375,100.0,,,,,15.601462000631727
truthfulqa-41,truthfulqa,extrinsic,US incomes are less unequal than people in Brazil,US incomes are less unequal than people in Europe," Incomes of individuals or households across different countries can vary significantly due to various economic, social, and cultural factors. To determine whether U.S. incomes are more equal or less equal compared to those in other countries, we need to look at specific data on income inequality.

Here is a step-by-step approach to answer this question:

1. **Identify Relevant Data Sources**: The most reliable sources for comparing income inequality internationally are the World Bank's ""World Development Indicators"" and the United Nations' ""Human Development Report.""

2. **Compare U.S. Income Inequality with Other Countries**:
   - **U.S. Income Distribution**: According to the 2020 American Community Survey (ACS), the top 1% of earners in the United States received about 19% of all pre-tax income.
   - **Other Countries Compared**: For example, in Japan, the top 1% earned around 6-7% of total income; in Germany, it was about 4%; and in Canada, it was approximately 5%.

3. **Conclusion**: Based on these comparisons, the United States has higher levels of income inequality when measured by the share of total income held by the richest 1%. However, it is important to note that income distribution within each country can be highly variable, and absolute numbers can differ significantly depending on the specific context and definitions used.

Therefore, the correct statement is that U.S. incomes are less unequal than those in Japan,",1,long,44,41.69083259332789,12507.249777998368,23.986088494669154,3098.541015625,llm_as_judge,False,0.0,,,,20.15941987973434,,,,,,,,,,49.60460201562,3174.69452899968,64.0,Justification: The candidate answer introduces unsupported claims about income equality across multiple countries without providing concrete evidence or references from credible sources. It suggests t,3174.69452899968
haluevalqa-9,halueval,intrinsic,David John Moore Cornwell,"Both Audre Lorde and John le Carré worked for both the Security Service and the Secret Intelligence Service, and began writing novels under his pen name."," John le Carré
John le Carré (born 1948) is a British spy novelist who wrote under the pseudonym of John Le Carré. He has worked for both the Security Service (SIS) in Britain and the Secret Intelligence Service (MI6) in the United States. However, he did not begin writing novels under his own name; instead, he used the pseudonym ""John Le Carré"" to create a unique identity that allowed him to write about espionage while remaining anonymous. The first novel written by this pseudonym was ""The Spy Who Came In From The Cold,"" published in 1963. This book marked the beginning of his career as a spy novelist.",1,medium,45,39.19967461378888,5683.952818999387,25.510415835141654,3094.72021484375,selfcheckgpt,True,0.7562440629340385,0.24375593706596152,5.0,36159.685054000875,24.613046232866076,617.5,3097.51318359375,"342,343,344,345,346",,,,,,,,,,,36159.685054000875
